id,subject,body
insurance-email-001,Question about my car policy,"Hello, I recently renewed my auto policy and I want to check if roadside assistance is included. My policy number is AUT-1048837. Please let me know what is covered and whether I need to add anything extra. Thanks."
insurance-email-002,Claim reference CLM-22091,"Good afternoon, I submitted a claim after a small water leak in my apartment last week. Could you please tell me if claim CLM-22091 has been reviewed yet? I haven't heard anything since I uploaded the photos."
insurance-email-003,Travel insurance documents,"Hi, I am travelling next month and I need a copy of my travel insurance certificate. My policy number is TRV-550193. Could you send it to this email address? I may also need proof of coverage for visa purposes."
insurance-email-004,Change of address on my home policy,"Dear team, I moved to a new flat last week and need my home insurance address updated. The policy number is HMO-772401. The new address is 14 Willow Court, apartment 3B. Please confirm if you need anything else."
insurance-email-005,Payment did not go through,"Hello, I got a message saying my car insurance payment failed, but the money was taken from my bank account. Could you please check this? Policy number AUT-901244. I don't want my cover to lapse."
insurance-email-006,Missing document for claim,"Hi, I opened a travel claim for lost baggage, but I forgot to attach the airline report. Claim number TRC-883214. Can I still send it now? Please let me know where to upload it."
insurance-email-007,Can you explain my renewal?,"Dear Sir/Madam, I received my home insurance renewal and the premium seems higher than expected. Policy HMO-118904. Can you explain why it changed and if there is anything I can do to reduce it?"
insurance-email-008,Auto claim update please,"Good morning, I was involved in a minor collision and filed a claim yesterday. Claim number AUT-334900. I would like to know the current status and whether an adjuster has been assigned."
insurance-email-009,Need to add another driver,"Hi there, I want to add my wife as an additional driver on my auto policy. Policy number AUT-667812. She has a clean record. Please tell me what info you need from me."
insurance-email-010,Lost policy paperwork,"Hello, I seem to have misplaced my home insurance policy documents. Could you resend them? The policy number is HMO-440212. I only need the latest version for my records."
insurance-email-011,Travel claim question,"Dear support, I had to cancel my holiday because I was sick. I think I can claim on my travel policy, but I am not sure which papers you need. Policy TRV-900115. Please advise."
insurance-email-012,Invoice for my premium,"Hi, can you email me the latest invoice for my auto insurance premium? Policy AUT-221990. My accountant needs it before the end of the month."
insurance-email-013,Home claim after storm,"Hello, a storm damaged part of my roof on Monday evening. I would like to open a claim. My home policy is HMO-709311. The damage is to the rear side of the house and there is a leak now."
insurance-email-014,Cancel my travel policy,"Good evening, please cancel my travel insurance starting from tomorrow because my trip has been postponed. Policy number TRV-331877. Please confirm if I will get any refund."
insurance-email-015,Claim number not working,"Hi, I tried to check the status of my claim online but it says the number is invalid. The claim number I have is CLM-554782. Could you check it for me?"
insurance-email-016,Update my phone number,"Dear team, please update the contact number on my home insurance account. Policy HMO-293018. My new mobile is 555-0148. Thank you."
