id,subject,body,insurance_type,intent,priority,sentiment,summary,policy_number,claim_number,missing_information,requires_human_review,human_review_reason,confidence
insurance-email-001,Question about my car policy,"Hello, I recently renewed my auto policy and I want to check if roadside assistance is included. My policy number is AUT-1048837. Please let me know what is covered and whether I need to add anything extra. Thanks.",auto,policy_information,medium,neutral,Customer asks whether roadside assistance is included in a recently renewed auto policy and what coverage is included.,AUT-1048837,,"[""Whether roadside assistance is included in the current policy"", ""Any optional coverages or add-ons requested by the customer""]",False,,0.98
insurance-email-002,Claim reference CLM-22091,"Good afternoon, I submitted a claim after a small water leak in my apartment last week. Could you please tell me if claim CLM-22091 has been reviewed yet? I haven't heard anything since I uploaded the photos.",home,claim_status,medium,neutral,Customer is asking for an update on claim CLM-22091 after submitting a claim for a water leak in an apartment and uploading photos.,,CLM-22091,[],False,,0.98
insurance-email-003,Travel insurance documents,"Hi, I am travelling next month and I need a copy of my travel insurance certificate. My policy number is TRV-550193. Could you send it to this email address? I may also need proof of coverage for visa purposes.",travel,document_request,medium,neutral,Customer is traveling next month and requests a copy of their travel insurance certificate and proof of coverage for visa purposes.,TRV-550193,,[],False,,0.98
insurance-email-004,Change of address on my home policy,"Dear team, I moved to a new flat last week and need my home insurance address updated. The policy number is HMO-772401. The new address is 14 Willow Court, apartment 3B. Please confirm if you need anything else.",home,policy_change,medium,neutral,"Customer requests an update to the address on their home insurance policy after moving to a new flat. New address provided: 14 Willow Court, apartment 3B.",HMO-772401,,[],False,,0.98
insurance-email-005,Payment did not go through,"Hello, I got a message saying my car insurance payment failed, but the money was taken from my bank account. Could you please check this? Policy number AUT-901244. I don't want my cover to lapse.",auto,payment_information,high,negative,"Customer says an auto insurance payment failed even though the money was taken from their bank account, and they want it checked to avoid cover lapsing.",AUT-901244,,"[""Payment date"", ""Amount taken from bank account"", ""Proof or reference of the bank transaction""]",False,,0.97
insurance-email-006,Missing document for claim,"Hi, I opened a travel claim for lost baggage, but I forgot to attach the airline report. Claim number TRC-883214. Can I still send it now? Please let me know where to upload it.",travel,document_submission,medium,neutral,Customer says they opened a travel claim for lost baggage and wants to submit the missing airline report for claim TRC-883214 and জানতে where to upload it.,,TRC-883214,"[""Upload method or destination for the airline report""]",False,,0.98
insurance-email-007,Can you explain my renewal?,"Dear Sir/Madam, I received my home insurance renewal and the premium seems higher than expected. Policy HMO-118904. Can you explain why it changed and if there is anything I can do to reduce it?",home,payment_information,medium,neutral,Customer asks why their home insurance renewal premium increased and whether anything can be done to reduce it. Policy HMO-118904 is provided.,HMO-118904,,"[""Reason for the premium increase"", ""Renewal breakdown or calculation details""]",False,,0.95
insurance-email-008,Auto claim update please,"Good morning, I was involved in a minor collision and filed a claim yesterday. Claim number AUT-334900. I would like to know the current status and whether an adjuster has been assigned.",auto,claim_status,medium,neutral,Customer is asking for an update on an auto claim filed yesterday and wants to know the current status and whether an adjuster has been assigned.,,AUT-334900,[],False,,0.98
insurance-email-009,Need to add another driver,"Hi there, I want to add my wife as an additional driver on my auto policy. Policy number AUT-667812. She has a clean record. Please tell me what info you need from me.",auto,policy_change,medium,neutral,Customer wants to add their wife as an additional driver on an auto policy and asks what information is needed.,AUT-667812,,"[""Wife's full name"", ""Wife's date of birth"", ""Wife's driver license details"", ""Wife's driving history"", ""Effective date for adding the driver""]",False,,0.98
insurance-email-010,Lost policy paperwork,"Hello, I seem to have misplaced my home insurance policy documents. Could you resend them? The policy number is HMO-440212. I only need the latest version for my records.",home,document_request,low,neutral,Customer requests a resend of the latest home insurance policy documents for records and provides policy number HMO-440212.,HMO-440212,,[],False,,0.98
insurance-email-011,Travel claim question,"Dear support, I had to cancel my holiday because I was sick. I think I can claim on my travel policy, but I am not sure which papers you need. Policy TRV-900115. Please advise.",travel,policy_information,medium,neutral,Customer says they canceled a holiday because they were sick and believes it may be covered under their travel policy. They are asking which documents are needed.,TRV-900115,,"[""Required claim documents for the cancellation due to illness""]",False,,0.94
insurance-email-012,Invoice for my premium,"Hi, can you email me the latest invoice for my auto insurance premium? Policy AUT-221990. My accountant needs it before the end of the month.",auto,document_request,medium,neutral,Customer requests the latest invoice for an auto insurance premium and provides policy AUT-221990.,AUT-221990,,[],False,,0.99
insurance-email-013,Home claim after storm,"Hello, a storm damaged part of my roof on Monday evening. I would like to open a claim. My home policy is HMO-709311. The damage is to the rear side of the house and there is a leak now.",home,claim_opening,high,neutral,"Customer wants to open a home insurance claim for storm damage to the roof, including a leak at the rear side of the house.",HMO-709311,,"[""Date of incident (exact date, if needed for claim intake)"", ""Details of any immediate mitigation steps taken to prevent further damage""]",False,,0.98
insurance-email-014,Cancel my travel policy,"Good evening, please cancel my travel insurance starting from tomorrow because my trip has been postponed. Policy number TRV-331877. Please confirm if I will get any refund.",travel,policy_cancellation,high,neutral,Customer requests cancellation of a travel insurance policy starting tomorrow due to a postponed trip and asks about any refund.,TRV-331877,,"[""Refund amount or cancellation terms are not provided in the email.""]",False,,0.98
insurance-email-015,Claim number not working,"Hi, I tried to check the status of my claim online but it says the number is invalid. The claim number I have is CLM-554782. Could you check it for me?",unknown,claim_status,medium,neutral,Customer says the online claim status check shows their claim number as invalid and asks for it to be checked. The claim number provided is CLM-554782.,,CLM-554782,"[""Insurance type/policy context needed to locate the claim""]",False,,0.93
