email_id,subject,body,insurance_type,intent,priority,policy_number,claim_number,action,decision_reason,response_email,human_note
insurance-email-001,Question about my car policy,"Hello, I recently renewed my auto policy and I want to check if roadside assistance is included. My policy number is AUT-1048837. Please let me know what is covered and whether I need to add anything extra. Thanks.",auto,policy_information,medium,AUT-1048837,,reply_to_client,Policy record found and the customer is asking for basic coverage status only; the record provides enough information to respond safely.,"Subject: Re: Question about my car policy

Hello,

Thank you for reaching out. We checked your auto policy, and it is currently active. The policy record confirms that standard cover is in place.

At this time, the record provided does not show whether roadside assistance is included, so I’m unable to confirm that coverage from the information available here. If you would like, a representative can review your full policy details and let you know whether any additional coverage may be needed.

Best regards,
Customer Service",
insurance-email-002,Claim reference CLM-22091,"Good afternoon, I submitted a claim after a small water leak in my apartment last week. Could you please tell me if claim CLM-22091 has been reviewed yet? I haven't heard anything since I uploaded the photos.",home,claim_status,medium,,CLM-22091,reply_to_client,Claim record found and status information is sufficient to answer the customer’s review-status question safely.,"Subject: Re: Claim reference CLM-22091

Good afternoon,

Thank you for your message. I checked claim CLM-22091, and it has been received and registered.

The next step is document validation, so it has not yet moved beyond the initial review stage. If any additional information is needed, you should be contacted.

Kind regards,
Customer Support",
insurance-email-003,Travel insurance documents,"Hi, I am travelling next month and I need a copy of my travel insurance certificate. My policy number is TRV-550193. Could you send it to this email address? I may also need proof of coverage for visa purposes.",travel,document_request,medium,TRV-550193,,reply_to_client,Policy was found and is active; the request is a straightforward document request with sufficient information to respond safely.,"Subject: Re: Travel insurance documents

Hello,

Thank you for your message. We can confirm that policy TRV-550193 is active and that standard travel cover is in force.

We can help provide a copy of your travel insurance certificate and, if needed, proof of coverage for visa purposes. Please reply to this email with the documents you need confirmed, and we will assist you further.

Kind regards,
Customer Service",
insurance-email-004,Change of address on my home policy,"Dear team, I moved to a new flat last week and need my home insurance address updated. The policy number is HMO-772401. The new address is 14 Willow Court, apartment 3B. Please confirm if you need anything else.",home,policy_change,medium,HMO-772401,,escalate_to_human,"Policy found, but status is payment_pending, so the address change should be reviewed by a human before any policy update or confirmation is sent.",,"Please review policy HMO-772401. The customer requests an address change to 14 Willow Court, apartment 3B, but the policy is currently payment_pending. Confirm whether the address can be updated or whether payment confirmation is needed first."
insurance-email-005,Payment did not go through,"Hello, I got a message saying my car insurance payment failed, but the money was taken from my bank account. Could you please check this? Policy number AUT-901244. I don't want my cover to lapse.",auto,payment_information,high,AUT-901244,,escalate_to_human,"Customer reports a failed payment and potential coverage lapse; the policy record shows the policy is cancelled, which is sensitive and requires human follow-up.",,"Customer says a payment failed but funds were taken from their bank account and they are worried about lapse in cover. Policy AUT-901244 is found and marked cancelled with cancellation on record. Please verify payment status, cancellation details, and next steps for the customer."
insurance-email-006,Missing document for claim,"Hi, I opened a travel claim for lost baggage, but I forgot to attach the airline report. Claim number TRC-883214. Can I still send it now? Please let me know where to upload it.",travel,document_submission,medium,,TRC-883214,escalate_to_human,"Claim was found but is closed, so additional document submission must be handled manually.",,Customer wants to submit a missing airline report for travel claim TRC-883214. Record shows the claim is closed; please review whether the document can be accepted and provide the correct upload instructions or next steps.
insurance-email-007,Can you explain my renewal?,"Dear Sir/Madam, I received my home insurance renewal and the premium seems higher than expected. Policy HMO-118904. Can you explain why it changed and if there is anything I can do to reduce it?",home,payment_information,medium,HMO-118904,,escalate_to_human,"Policy record found but contains only limited information and does not include renewal premium details or reasons for the change; the policy is also expired, so the request needs manual review.",,Customer asks why the home insurance renewal premium increased and whether anything can be done to reduce it. Policy HMO-118904 is found but only shows status as expired; no renewal pricing or explanation is available in the record. Please review the policy history and renewal documents and provide an appropriate explanation.
insurance-email-008,Auto claim update please,"Good morning, I was involved in a minor collision and filed a claim yesterday. Claim number AUT-334900. I would like to know the current status and whether an adjuster has been assigned.",auto,claim_status,medium,,AUT-334900,reply_to_client,Claim record found and status information is sufficient to answer the customer’s request.,"Subject: Re: Auto claim update

Good morning,

Thank you for your message. I can confirm that claim AUT-334900 has been received and logged. The current status is initial claim notice received, and supporting documents are pending review.

At this time, I do not see confirmation that an adjuster has been assigned yet. If anything further is needed, you will be contacted.

Best regards,
Claims Support",
insurance-email-009,Need to add another driver,"Hi there, I want to add my wife as an additional driver on my auto policy. Policy number AUT-667812. She has a clean record. Please tell me what info you need from me.",auto,policy_change,medium,AUT-667812,,escalate_to_human,"Policy record was found, but it is cancelled, so the requested driver addition cannot be handled safely without human review and possible policy reinstatement considerations.",,Customer wants to add a driver to auto policy AUT-667812. Internal record shows the policy is cancelled. Please verify current servicing status and advise the customer on next steps before discussing any policy change.
insurance-email-010,Lost policy paperwork,"Hello, I seem to have misplaced my home insurance policy documents. Could you resend them? The policy number is HMO-440212. I only need the latest version for my records.",home,document_request,low,HMO-440212,,reply_to_client,"Policy found and active; customer requests a copy of the latest policy documents, which can be handled safely without sensitive judgment.","Subject: Re: Lost policy paperwork

Hello,

Thank you for your message. I can confirm that your home insurance policy HMO-440212 is active and has valid cover.

We can assist with sending a copy of the latest policy documents for your records. Please reply to this email with the best mailing or email address for delivery, and we will arrange the documents to be sent.

Kind regards,
Insurance Support",
insurance-email-011,Travel claim question,"Dear support, I had to cancel my holiday because I was sick. I think I can claim on my travel policy, but I am not sure which papers you need. Policy TRV-900115. Please advise.",travel,policy_information,medium,TRV-900115,,reply_to_client,"Policy found and active; customer is asking for general claim document guidance, which can be answered without making coverage or claim decisions.","Dear Customer,

Thank you for your email. I’m sorry to hear you were unwell and had to cancel your holiday.

Your travel policy is active and valid. To help us assess a cancellation claim, please send the following documents if you have them:

- Your policy number
- Proof of booking and cancellation charges
- Medical evidence showing you were unfit to travel, such as a doctor’s certificate or medical note
- Receipts or invoices for any non-refundable costs
- Any correspondence with the travel provider about the cancellation

If you have already started a claim, please include any claim reference you have.

Once we receive the documents, we can review the next steps.

Kind regards,
Support Team",
insurance-email-012,Invoice for my premium,"Hi, can you email me the latest invoice for my auto insurance premium? Policy AUT-221990. My accountant needs it before the end of the month.",auto,document_request,medium,AUT-221990,,escalate_to_human,"Policy record was found, but the request is to email a latest premium invoice, which may require accessing billing documents not available in the policy record and should be handled carefully.",,Customer requests the latest premium invoice for active auto policy AUT-221990. Please verify billing/invoice availability and send the appropriate document if permitted.
